Objects,Architecture,Effects,Resolution,Time
1000,APU,xx-xx-RE,1920x1080,4.18
65000,CPU,AA-xx-RE,1280x720,94.23
260000,CPU,AA-TR-RE,1280x720,402.02
4000,GPU,AA-TR-xx,1440x900,17.40
1000,CPU,AA-TR-RE,1280x720,19.48
260000,CPU,AA-TR-RE,1440x900,514.79
16000,GPU,xx-xx-xx,1920x1080,5.35
16000,GPU,xx-TR-RE,1440x900,28.71
4000,APU,AA-TR-xx,1920x1080,14.00
1000,GPU,AA-xx-RE,1280x720,4.54
1000,GPU,AA-xx-RE,1440x900,5.62
16000,APU,xx-xx-xx,1920x1080,5.69
260000,CPU,xx-TR-RE,1280x720,81.28
16000,APU,AA-TR-RE,1280x720,44.28
1000,APU,xx-TR-xx,1280x720,3.75
16000,CPU,xx-TR-xx,1280x720,13.18
1000,APU,AA-xx-xx,1440x900,6.11
65000,APU,AA-xx-xx,1920x1080,22.56
65000,APU,xx-TR-RE,1440x900,24.16
16000,APU,xx-TR-RE,1280x720,10.50
260000,CPU,xx-xx-xx,1440x900,46.26
1000,APU,AA-TR-RE,1920x1080,9.62
1000,CPU,AA-TR-xx,1920x1080,27.15
65000,GPU,xx-xx-RE,1280x720,21.11
65000,APU,AA-xx-xx,1440x900,19.19
65000,GPU,xx-xx-RE,1920x1080,34.19
65000,CPU,AA-xx-RE,1280x720,94.03
1000,CPU,AA-TR-RE,1280x720,19.51
4000,APU,xx-TR-RE,1280x720,5.22
16000,APU,AA-TR-xx,1440x900,22.35
1000,CPU,xx-xx-RE,1440x900,4.20
16000,APU,xx-TR-RE,1440x900,13.63
260000,CPU,AA-xx-xx,1280x720,182.14
1000,CPU,AA-TR-RE,1920x1080,28.98
260000,CPU,xx-xx-xx,1280x720,37.56
4000,CPU,AA-TR-xx,1920x1080,53.78
16000,GPU,AA-xx-xx,1440x900,20.56
16000,GPU,AA-xx-RE,1280x720,41.24
16000,APU,xx-TR-RE,1280x720,10.56
260000,GPU,xx-TR-RE,1920x1080,256.43
16000,APU,AA-TR-RE,1440x900,55.16
65000,CPU,AA-xx-xx,1440x900,89.89
16000,GPU,xx-TR-RE,1920x1080,32.46
65000,APU,AA-xx-RE,1920x1080,55.11
16000,CPU,AA-xx-xx,1280x720,37.44
260000,CPU,xx-TR-RE,1920x1080,128.00
260000,GPU,AA-xx-RE,1920x1080,512.39
16000,CPU,xx-TR-xx,1280x720,13.26
16000,APU,xx-xx-RE,1280x720,6.09
65000,APU,xx-xx-RE,1920x1080,13.91
260000,CPU,xx-xx-RE,1920x1080,74.36
4000,CPU,AA-xx-xx,1440x900,32.50
4000,APU,AA-TR-RE,1920x1080,24.66
4000,CPU,AA-xx-RE,1440x900,38.26
1000,GPU,AA-TR-xx,1920x1080,6.62
260000,APU,xx-TR-xx,1920x1080,22.54
4000,CPU,xx-TR-RE,1920x1080,12.85
16000,GPU,AA-TR-xx,1440x900,50.22
16000,GPU,xx-xx-xx,1280x720,3.52
16000,CPU,xx-xx-RE,1920x1080,18.13
16000,APU,xx-xx-xx,1920x1080,5.86
65000,GPU,xx-xx-RE,1440x900,28.18
65000,CPU,xx-xx-xx,1920x1080,23.01
65000,CPU,xx-TR-xx,1920x1080,34.84
16000,GPU,AA-TR-RE,1280x720,110.44
65000,APU,AA-TR-RE,1440x900,110.71
1000,GPU,xx-TR-xx,1920x1080,1.58
65000,APU,AA-TR-xx,1280x720,29.99
1000,CPU,xx-TR-xx,1280x720,3.66
4000,APU,AA-xx-xx,1440x900,8.11
65000,GPU,xx-xx-RE,1440x900,27.95
1000,APU,xx-TR-RE,1440x900,4.23
4000,APU,AA-xx-xx,1920x1080,9.52
4000,CPU,xx-TR-xx,1920x1080,10.85
260000,GPU,AA-xx-RE,1440x900,438.90
16000,CPU,xx-xx-xx,1440x900,10.09
16000,APU,xx-TR-xx,1920x1080,7.97
65000,CPU,AA-xx-RE,1920x1080,161.34
260000,GPU,xx-TR-xx,1280x720,65.73
16000,GPU,AA-TR-xx,1440x900,50.30
260000,GPU,AA-TR-xx,1920x1080,421.45
65000,CPU,AA-TR-RE,1280x720,173.26
4000,GPU,AA-TR-RE,1920x1080,35.48
16000,CPU,AA-TR-xx,1280x720,65.62
65000,APU,xx-xx-RE,1440x900,11.44
260000,APU,AA-TR-xx,1440x900,77.20
4000,GPU,xx-TR-xx,1920x1080,4.21
1000,APU,xx-TR-xx,1920x1080,4.26
16000,CPU,xx-xx-xx,1920x1080,13.16
16000,GPU,xx-TR-xx,1920x1080,11.77
260000,APU,AA-xx-RE,1280x720,84.71
4000,GPU,xx-TR-xx,1280x720,3.13
16000,CPU,AA-TR-RE,1920x1080,156.10
4000,CPU,xx-TR-xx,1920x1080,10.80
16000,APU,AA-xx-xx,1440x900,11.49
260000,CPU,AA-TR-xx,1280x720,253.62
16000,CPU,xx-TR-xx,1440x900,17.12
1000,GPU,AA-TR-RE,1440x900,7.67
65000,CPU,AA-TR-RE,1440x900,234.63
16000,APU,AA-xx-xx,1280x720,10.00
16000,CPU,xx-xx-RE,1280x720,10.55
1000,GPU,xx-xx-xx,1280x720,1.06
4000,GPU,xx-xx-RE,1280x720,3.03
65000,GPU,AA-xx-xx,1440x900,59.84
65000,CPU,AA-xx-RE,1440x900,126.93
16000,GPU,AA-xx-xx,1920x1080,24.46
65000,GPU,AA-TR-RE,1440x900,376.89
4000,GPU,AA-TR-xx,1440x900,17.55
4000,CPU,AA-xx-RE,1440x900,38.43
260000,CPU,xx-xx-RE,1920x1080,74.39
1000,GPU,xx-xx-RE,1920x1080,1.48
16000,APU,xx-xx-xx,1920x1080,5.92
4000,GPU,AA-xx-RE,1920x1080,19.99
65000,CPU,AA-TR-xx,1280x720,105.64
65000,APU,xx-TR-xx,1920x1080,12.06
260000,CPU,xx-xx-RE,1280x720,49.03
260000,APU,AA-xx-xx,1440x900,47.61
4000,GPU,xx-xx-RE,1440x900,3.88
1000,CPU,xx-xx-RE,1440x900,4.22
65000,APU,AA-TR-RE,1280x720,82.95
65000,CPU,xx-xx-xx,1920x1080,23.15
65000,APU,AA-TR-RE,1280x720,82.88
1000,GPU,AA-xx-RE,1440x900,5.48
16000,GPU,xx-xx-RE,1280x720,8.42
1000,CPU,AA-xx-RE,1280x720,16.34
260000,GPU,AA-TR-xx,1280x720,322.41
65000,GPU,xx-TR-xx,1280x720,20.31
260000,APU,AA-xx-xx,1440x900,46.93
65000,GPU,AA-xx-xx,1440x900,59.99
65000,CPU,AA-TR-RE,1280x720,173.29
16000,GPU,AA-xx-xx,1280x720,16.39
65000,APU,xx-xx-RE,1920x1080,13.76
1000,CPU,AA-TR-xx,1920x1080,27.24
16000,CPU,xx-TR-xx,1920x1080,21.01
260000,CPU,xx-TR-RE,1920x1080,127.86
1000,APU,xx-xx-xx,1280x720,3.51
4000,CPU,AA-TR-RE,1280x720,40.57
4000,GPU,xx-xx-xx,1280x720,1.85
260000,APU,AA-xx-xx,1280x720,39.30
260000,GPU,xx-TR-RE,1440x900,213.42
4000,CPU,AA-TR-RE,1920x1080,63.98
65000,CPU,xx-xx-RE,1280x720,19.11
65000,APU,xx-TR-xx,1440x900,10.23
16000,CPU,xx-TR-xx,1280x720,13.24
260000,APU,AA-xx-RE,1440x900,101.49
65000,APU,xx-TR-RE,1920x1080,29.11
4000,CPU,xx-xx-xx,1280x720,4.92
65000,CPU,xx-TR-RE,1920x1080,59.35
1000,APU,AA-xx-RE,1280x720,6.13
1000,APU,xx-TR-xx,1280x720,3.74
65000,APU,xx-TR-xx,1280x720,8.60
65000,GPU,xx-TR-RE,1440x900,76.80
260000,CPU,xx-xx-RE,1920x1080,74.36
1000,GPU,xx-xx-xx,1280x720,1.00
4000,APU,AA-TR-xx,1920x1080,13.85
65000,CPU,xx-xx-RE,1920x1080,32.66
1000,GPU,AA-xx-RE,1920x1080,6.00
65000,GPU,AA-xx-RE,1280x720,103.90
1000,APU,AA-xx-xx,1920x1080,6.73
260000,APU,xx-TR-xx,1280x720,16.68
1000,CPU,xx-TR-xx,1920x1080,5.56
65000,CPU,xx-xx-xx,1920x1080,23.19
16000,APU,xx-xx-xx,1440x900,4.99
65000,CPU,xx-xx-RE,1920x1080,32.64
1000,CPU,xx-TR-RE,1440x900,4.89
260000,CPU,AA-xx-xx,1440x900,226.79
4000,APU,xx-xx-xx,1440x900,4.68
4000,CPU,xx-TR-RE,1280x720,8.19
260000,CPU,xx-TR-RE,1440x900,104.26
1000,APU,AA-xx-xx,1440x900,5.96
65000,APU,xx-xx-RE,1440x900,11.26
65000,CPU,AA-TR-xx,1920x1080,172.41
4000,APU,xx-TR-xx,1920x1080,5.56
4000,CPU,xx-xx-RE,1280x720,5.77
260000,CPU,xx-xx-xx,1440x900,46.55
260000,APU,AA-xx-RE,1440x900,100.88
4000,CPU,AA-xx-xx,1280x720,24.39
1000,CPU,AA-xx-RE,1440x900,20.71
4000,APU,xx-TR-RE,1440x900,6.40
4000,CPU,xx-xx-xx,1920x1080,8.22
4000,APU,AA-xx-RE,1920x1080,14.96
1000,CPU,AA-xx-xx,1920x1080,23.86
1000,APU,xx-TR-RE,1440x900,4.22
260000,APU,AA-xx-xx,1280x720,39.83
1000,CPU,AA-TR-RE,1440x900,23.99
260000,CPU,xx-TR-xx,1280x720,51.93
260000,APU,AA-TR-RE,1920x1080,306.85
1000,APU,xx-TR-xx,1920x1080,4.35
16000,GPU,AA-xx-RE,1440x900,54.68
65000,APU,xx-TR-xx,1920x1080,12.20
16000,APU,AA-xx-xx,1280x720,9.95
1000,CPU,xx-TR-RE,1280x720,4.01
16000,GPU,xx-TR-RE,1440x900,28.63
16000,GPU,AA-xx-xx,1920x1080,24.41
1000,APU,AA-TR-RE,1280x720,7.50
260000,APU,xx-xx-RE,1280x720,19.80
260000,APU,AA-TR-RE,1920x1080,306.25
4000,CPU,xx-TR-RE,1280x720,8.25
1000,CPU,AA-xx-RE,1280x720,16.38
16000,APU,xx-TR-xx,1440x900,7.12
4000,APU,xx-TR-xx,1280x720,4.64
1000,GPU,AA-TR-RE,1280x720,6.81
4000,APU,xx-xx-xx,1280x720,4.00
16000,GPU,AA-TR-RE,1280x720,109.99
65000,APU,xx-xx-xx,1920x1080,7.71
16000,APU,xx-xx-RE,1280x720,6.18
260000,GPU,xx-TR-RE,1440x900,213.45
4000,CPU,xx-TR-RE,1920x1080,12.97
260000,GPU,xx-xx-RE,1920x1080,103.48
65000,APU,xx-xx-xx,1280x720,6.34
16000,CPU,xx-xx-xx,1280x720,7.60
4000,APU,AA-xx-RE,1920x1080,14.90
260000,CPU,xx-TR-xx,1440x900,64.13
1000,APU,xx-TR-RE,1440x900,4.18
4000,APU,AA-xx-xx,1920x1080,9.42
4000,GPU,AA-TR-xx,1920x1080,19.58
4000,APU,xx-TR-RE,1280x720,5.45
260000,CPU,AA-TR-xx,1440x900,314.93
65000,CPU,AA-xx-xx,1440x900,89.82
65000,CPU,AA-xx-RE,1280x720,94.13
16000,APU,xx-TR-xx,1280x720,6.25
16000,APU,AA-xx-xx,1440x900,11.39
4000,GPU,xx-TR-RE,1920x1080,7.55
4000,APU,AA-xx-RE,1920x1080,14.98
16000,CPU,AA-xx-xx,1280x720,37.44
4000,GPU,AA-xx-RE,1440x900,17.54
16000,GPU,AA-TR-xx,1920x1080,56.77
1000,GPU,AA-TR-RE,1440x900,7.66
16000,GPU,xx-xx-RE,1440x900,11.34
16000,GPU,xx-xx-RE,1440x900,11.15
1000,APU,xx-xx-xx,1280x720,3.48
260000,APU,xx-TR-xx,1280x720,16.62
65000,GPU,xx-xx-xx,1920x1080,14.25
65000,APU,AA-xx-RE,1440x900,43.62
4000,APU,xx-TR-xx,1280x720,4.76
1000,APU,AA-TR-RE,1920x1080,9.59
16000,APU,xx-TR-xx,1440x900,7.41
4000,GPU,xx-xx-xx,1440x900,2.25
16000,APU,xx-TR-RE,1440x900,13.48
16000,APU,AA-TR-xx,1440x900,21.75
16000,APU,AA-xx-xx,1280x720,9.98
65000,APU,AA-xx-RE,1440x900,43.92
1000,APU,AA-TR-RE,1440x900,8.81
1000,GPU,AA-xx-RE,1920x1080,5.94
260000,GPU,xx-xx-RE,1280x720,72.16
260000,APU,xx-xx-xx,1920x1080,15.08
65000,CPU,AA-xx-RE,1440x900,126.94
16000,CPU,AA-xx-RE,1280x720,52.11
1000,CPU,AA-TR-RE,1920x1080,28.81
16000,APU,xx-TR-xx,1440x900,7.38
260000,CPU,xx-xx-xx,1280x720,37.58
1000,APU,AA-xx-xx,1920x1080,6.75
65000,CPU,xx-xx-xx,1440x900,18.23
65000,CPU,xx-xx-RE,1440x900,25.66
16000,APU,xx-xx-RE,1440x900,7.46
16000,CPU,AA-xx-xx,1920x1080,64.82
4000,GPU,xx-TR-RE,1920x1080,7.63
1000,APU,AA-TR-xx,1920x1080,8.04
260000,APU,AA-TR-RE,1280x720,197.45
4000,GPU,AA-xx-xx,1280x720,32.38
4000,CPU,xx-TR-xx,1280x720,6.77
65000,CPU,xx-TR-xx,1440x900,27.75
4000,CPU,AA-TR-xx,1280x720,33.65
4000,CPU,xx-TR-xx,1280x720,6.85
260000,APU,AA-TR-RE,1280x720,196.10
260000,APU,xx-TR-RE,1280x720,41.74
260000,APU,xx-TR-xx,1280x720,16.80
4000,APU,AA-TR-RE,1280x720,17.52
1000,GPU,xx-TR-RE,1440x900,1.90
65000,APU,AA-TR-xx,1280x720,30.10
1000,APU,AA-TR-xx,1280x720,6.67
4000,APU,xx-TR-RE,1440x900,6.35
65000,CPU,AA-TR-xx,1280x720,105.67
16000,APU,xx-xx-xx,1280x720,4.77
260000,CPU,AA-xx-xx,1440x900,226.84
16000,CPU,AA-TR-RE,1440x900,130.29
16000,CPU,xx-xx-xx,1920x1080,13.19
1000,GPU,xx-TR-RE,1280x720,1.66
65000,GPU,xx-TR-RE,1920x1080,92.65
260000,GPU,xx-xx-RE,1280x720,71.84
1000,APU,AA-TR-RE,1280x720,7.81
16000,CPU,AA-TR-RE,1920x1080,156.25
260000,APU,AA-xx-RE,1440x900,101.18
16000,GPU,AA-TR-xx,1440x900,50.22
16000,CPU,AA-xx-xx,1440x900,50.18
1000,CPU,xx-TR-RE,1920x1080,5.91
16000,APU,xx-xx-xx,1280x720,4.64
16000,APU,xx-TR-RE,1920x1080,15.58
260000,APU,xx-xx-xx,1920x1080,15.26
4000,GPU,AA-TR-RE,1280x720,26.53
16000,CPU,xx-TR-RE,1440x900,26.20
16000,GPU,xx-xx-xx,1440x900,4.51
260000,CPU,AA-xx-xx,1440x900,226.76
1000,GPU,xx-TR-xx,1280x720,1.34
1000,GPU,AA-xx-RE,1920x1080,6.08
1000,GPU,AA-TR-xx,1280x720,5.17
260000,APU,AA-xx-xx,1920x1080,55.09
260000,CPU,AA-TR-RE,1440x900,515.12
1000,GPU,AA-xx-xx,1440x900,4.13
260000,APU,AA-TR-RE,1440x900,250.96
65000,APU,xx-xx-xx,1280x720,5.95
1000,APU,AA-TR-RE,1440x900,8.53
1000,APU,xx-xx-RE,1920x1080,4.18
4000,CPU,AA-xx-xx,1920x1080,40.76
1000,CPU,xx-TR-xx,1440x900,4.59
4000,GPU,xx-xx-RE,1920x1080,4.38
65000,CPU,xx-TR-xx,1440x900,27.78
16000,APU,AA-xx-RE,1440x900,24.50
260000,GPU,xx-TR-xx,1280x720,65.61
4000,GPU,AA-xx-xx,1440x900,9.49
4000,APU,xx-TR-RE,1920x1080,7.34
4000,CPU,xx-xx-RE,1280x720,5.89
4000,CPU,xx-TR-xx,1920x1080,10.80
65000,CPU,xx-TR-RE,1440x900,47.32
65000,GPU,xx-xx-xx,1920x1080,14.24
1000,APU,AA-TR-RE,1920x1080,9.52
4000,GPU,xx-xx-xx,1920x1080,2.65
4000,CPU,AA-xx-RE,1920x1080,47.58
4000,CPU,xx-xx-xx,1920x1080,8.28
260000,APU,xx-xx-RE,1920x1080,28.47
1000,GPU,xx-TR-xx,1440x900,1.57
16000,CPU,xx-TR-RE,1920x1080,31.43
260000,APU,AA-TR-RE,1440x900,250.18
4000,CPU,xx-xx-RE,1280x720,5.78
1000,GPU,AA-TR-xx,1280x720,5.12
4000,APU,AA-TR-xx,1440x900,12.28
1000,GPU,AA-xx-xx,1440x900,4.09
4000,APU,AA-TR-RE,1280x720,17.25
1000,GPU,AA-TR-RE,1920x1080,8.24
4000,CPU,AA-xx-xx,1920x1080,40.55
4000,APU,AA-TR-xx,1440x900,11.81
65000,CPU,AA-xx-xx,1920x1080,114.06
65000,CPU,xx-TR-RE,1440x900,47.12
260000,CPU,AA-TR-xx,1280x720,253.66
16000,GPU,xx-TR-xx,1920x1080,11.59
65000,APU,xx-TR-RE,1280x720,18.28
4000,APU,AA-TR-xx,1280x720,10.57
260000,APU,xx-TR-xx,1440x900,19.08
4000,CPU,xx-xx-xx,1920x1080,8.30
65000,APU,AA-TR-RE,1440x900,111.41
16000,GPU,AA-xx-xx,1280x720,16.32
4000,APU,AA-xx-xx,1440x900,8.31
65000,GPU,AA-xx-RE,1280x720,103.38
1000,APU,AA-xx-RE,1280x720,6.84
4000,GPU,AA-xx-RE,1280x720,13.57
16000,CPU,AA-TR-xx,1280x720,65.43
16000,CPU,AA-TR-xx,1440x900,84.72
1000,APU,xx-xx-xx,1440x900,3.99
260000,CPU,xx-TR-RE,1280x720,81.57
260000,GPU,xx-TR-xx,1920x1080,85.87
4000,CPU,xx-TR-RE,1280x720,8.20
1000,APU,AA-xx-RE,1440x900,7.24
1000,CPU,AA-TR-RE,1280x720,19.42
260000,CPU,xx-xx-RE,1440x900,61.66
260000,CPU,AA-xx-xx,1280x720,181.89
1000,APU,AA-xx-xx,1280x720,5.15
65000,GPU,xx-xx-xx,1920x1080,14.19
260000,CPU,AA-xx-RE,1920x1080,366.33
260000,APU,AA-TR-xx,1280x720,66.62
1000,CPU,xx-xx-xx,1920x1080,4.90
65000,GPU,xx-TR-RE,1440x900,76.41
260000,APU,AA-TR-xx,1280x720,67.15
65000,GPU,AA-TR-RE,1280x720,285.62
260000,APU,AA-xx-RE,1280x720,82.76
65000,CPU,xx-xx-xx,1920x1080,23.21
4000,APU,AA-TR-RE,1440x900,20.52
260000,CPU,AA-xx-RE,1440x900,302.74
65000,APU,xx-TR-RE,1440x900,23.73
65000,GPU,AA-TR-RE,1440x900,376.84
16000,APU,AA-xx-RE,1920x1080,30.74
16000,CPU,xx-TR-RE,1280x720,19.87
1000,CPU,xx-TR-xx,1440x900,4.57
16000,APU,AA-xx-xx,1280x720,9.86
1000,CPU,xx-xx-RE,1280x720,3.32
1000,GPU,xx-xx-xx,1440x900,1.05
16000,CPU,xx-xx-RE,1440x900,14.30
4000,GPU,AA-xx-RE,1440x900,17.60
1000,CPU,xx-xx-RE,1920x1080,5.15
260000,GPU,AA-TR-RE,1280x720,839.25
260000,CPU,AA-TR-xx,1920x1080,381.80
65000,APU,xx-xx-RE,1920x1080,13.82
4000,GPU,xx-TR-xx,1440x900,3.80
260000,APU,xx-TR-xx,1440x900,19.01
16000,GPU,AA-xx-xx,1920x1080,24.50
1000,GPU,AA-xx-xx,1280x720,3.51
4000,CPU,xx-TR-RE,1920x1080,12.96
65000,GPU,xx-xx-xx,1440x900,12.53
1000,APU,xx-xx-xx,1280x720,3.41
4000,APU,xx-xx-RE,1920x1080,5.62
65000,APU,AA-xx-RE,1280x720,33.30
16000,APU,AA-xx-RE,1280x720,19.11
4000,CPU,xx-xx-RE,1440x900,7.87
4000,GPU,xx-TR-RE,1920x1080,7.39
1000,APU,AA-xx-RE,1440x900,6.96
16000,APU,AA-TR-RE,1920x1080,65.93
1000,CPU,xx-TR-xx,1920x1080,5.55
16000,GPU,xx-TR-xx,1920x1080,11.75
4000,GPU,xx-TR-xx,1280x720,3.28
65000,APU,xx-xx-RE,1280x720,9.28
260000,CPU,xx-TR-RE,1440x900,104.13
4000,APU,xx-xx-RE,1920x1080,5.88
4000,APU,AA-TR-xx,1280x720,11.02
65000,GPU,xx-TR-xx,1440x900,24.58
65000,GPU,AA-TR-xx,1920x1080,138.09
4000,GPU,AA-xx-xx,1920x1080,11.02
4000,GPU,xx-xx-RE,1440x900,3.90
65000,CPU,AA-xx-RE,1440x900,127.03
1000,CPU,xx-TR-xx,1280x720,3.70
65000,CPU,AA-xx-RE,1920x1080,161.60
16000,APU,AA-xx-RE,1280x720,19.07
4000,CPU,AA-TR-RE,1920x1080,64.07
65000,APU,AA-xx-xx,1280x720,15.72
65000,GPU,xx-xx-RE,1440x900,27.96
1000,APU,xx-xx-xx,1920x1080,4.26
1000,CPU,xx-xx-RE,1440x900,4.20
65000,APU,xx-TR-xx,1920x1080,12.00
65000,APU,AA-TR-RE,1920x1080,136.12
65000,CPU,xx-xx-RE,1920x1080,32.72
4000,GPU,AA-TR-RE,1440x900,31.95
4000,CPU,AA-xx-xx,1280x720,24.29
1000,GPU,AA-TR-RE,1280x720,6.84
260000,GPU,AA-xx-RE,1440x900,440.20
65000,CPU,AA-xx-xx,1440x900,89.92
16000,CPU,xx-TR-xx,1440x900,17.08
16000,APU,AA-TR-RE,1280x720,43.46
260000,APU,AA-xx-RE,1440x900,101.47
16000,GPU,AA-TR-RE,1440x900,140.98
260000,GPU,xx-xx-xx,1920x1080,53.31
260000,CPU,AA-xx-RE,1440x900,302.77
16000,APU,xx-xx-RE,1440x900,7.40
65000,APU,xx-xx-RE,1920x1080,13.51
1000,GPU,xx-xx-xx,1280x720,0.88
4000,APU,xx-TR-RE,1440x900,6.22
16000,CPU,AA-xx-RE,1920x1080,90.16
16000,GPU,xx-xx-RE,1280x720,8.61
1000,APU,xx-TR-RE,1920x1080,4.49
260000,CPU,AA-TR-xx,1920x1080,381.93
16000,APU,xx-xx-RE,1280x720,6.09
260000,APU,AA-TR-xx,1920x1080,92.52
65000,GPU,AA-TR-xx,1280x720,98.97
16000,APU,AA-TR-xx,1920x1080,26.31
16000,GPU,xx-TR-RE,1920x1080,32.42
65000,GPU,AA-xx-RE,1920x1080,168.04
65000,CPU,xx-xx-RE,1280x720,18.99
16000,APU,AA-TR-xx,1920x1080,26.20
1000,CPU,xx-TR-xx,1920x1080,5.57
16000,APU,xx-TR-RE,1440x900,13.34
1000,GPU,xx-xx-xx,1920x1080,1.40
1000,GPU,AA-xx-xx,1280x720,3.43
4000,APU,xx-TR-RE,1920x1080,7.45
65000,CPU,AA-TR-xx,1920x1080,172.59
4000,CPU,xx-TR-RE,1280x720,8.15
16000,CPU,xx-xx-xx,1280x720,7.62
16000,GPU,xx-xx-xx,1440x900,4.45
16000,GPU,AA-xx-RE,1920x1080,64.80
65000,APU,AA-TR-RE,1920x1080,137.18
260000,APU,AA-TR-RE,1280x720,196.81
260000,GPU,xx-TR-RE,1280x720,170.16
65000,CPU,xx-xx-xx,1280x720,14.11
1000,APU,AA-xx-xx,1280x720,5.36
65000,GPU,xx-TR-RE,1280x720,57.81
1000,CPU,xx-TR-RE,1280x720,3.94
65000,CPU,AA-TR-xx,1440x900,137.20
65000,CPU,xx-TR-xx,1920x1080,34.73
1000,CPU,xx-TR-RE,1280x720,3.98
260000,CPU,AA-xx-RE,1440x900,302.72
16000,APU,AA-xx-xx,1440x900,11.20
1000,APU,xx-xx-RE,1920x1080,4.12
16000,APU,xx-TR-xx,1440x900,7.54
1000,GPU,xx-TR-xx,1920x1080,1.71
65000,CPU,xx-TR-RE,1920x1080,59.35
65000,GPU,xx-TR-RE,1920x1080,92.73
65000,GPU,xx-xx-RE,1280x720,21.19
1000,APU,xx-TR-xx,1440x900,4.03
65000,APU,AA-TR-xx,1280x720,30.26
16000,CPU,AA-TR-RE,1440x900,130.33
65000,GPU,AA-TR-xx,1920x1080,137.83
1000,GPU,AA-xx-xx,1440x900,4.22
4000,CPU,AA-TR-xx,1280x720,33.69
65000,CPU,AA-xx-RE,1440x900,126.99
1000,APU,xx-TR-xx,1920x1080,4.23
260000,CPU,AA-TR-RE,1280x720,401.98
16000,CPU,xx-TR-RE,1920x1080,31.44
16000,CPU,AA-xx-xx,1920x1080,64.70
4000,GPU,xx-xx-xx,1280x720,1.82
260000,GPU,AA-xx-RE,1920x1080,511.86
16000,GPU,xx-xx-RE,1920x1080,13.47
16000,APU,AA-xx-RE,1280x720,18.67
65000,GPU,AA-TR-xx,1280x720,98.86
65000,GPU,xx-TR-RE,1280x720,57.79
65000,APU,xx-TR-xx,1280x720,9.14
65000,GPU,xx-TR-xx,1280x720,20.18
65000,CPU,xx-xx-RE,1280x720,19.10
65000,GPU,AA-xx-RE,1440x900,137.38
260000,APU,AA-xx-RE,1920x1080,124.96
4000,APU,AA-xx-xx,1280x720,7.43
260000,APU,AA-TR-RE,1920x1080,305.31
16000,CPU,xx-TR-RE,1280x720,19.96
4000,APU,AA-TR-xx,1920x1080,14.02
16000,CPU,xx-TR-RE,1440x900,26.18
65000,GPU,xx-xx-RE,1440x900,27.95
16000,GPU,xx-xx-RE,1920x1080,13.46
4000,CPU,xx-xx-xx,1440x900,6.63
65000,CPU,xx-TR-xx,1280x720,21.49
260000,GPU,AA-xx-xx,1920x1080,259.65
260000,APU,AA-xx-xx,1280x720,39.91
65000,CPU,AA-TR-xx,1920x1080,172.50
65000,GPU,xx-TR-xx,1920x1080,28.27
16000,APU,xx-xx-xx,1440x900,4.88
1000,CPU,AA-xx-xx,1920x1080,24.03
4000,CPU,AA-TR-xx,1440x900,44.28
65000,CPU,AA-TR-RE,1440x900,234.72
260000,GPU,AA-TR-RE,1440x900,1052.28
4000,APU,AA-xx-RE,1440x900,12.55
65000,APU,AA-TR-RE,1440x900,110.25
16000,GPU,AA-xx-xx,1440x900,20.46
65000,APU,xx-TR-RE,1920x1080,29.47
4000,CPU,AA-TR-RE,1440x900,53.25
65000,GPU,AA-TR-xx,1280x720,98.80
4000,GPU,AA-xx-xx,1920x1080,10.93
4000,CPU,xx-TR-RE,1280x720,8.20
65000,APU,xx-xx-xx,1440x900,7.56
260000,GPU,AA-xx-xx,1280x720,194.05
1000,APU,xx-TR-xx,1280x720,3.82
1000,APU,xx-xx-xx,1920x1080,4.15
4000,APU,AA-xx-xx,1440x900,8.30
1000,GPU,AA-TR-RE,1440x900,7.70
16000,GPU,AA-TR-RE,1920x1080,159.32
260000,APU,xx-TR-xx,1920x1080,22.23
65000,GPU,AA-xx-RE,1440x900,137.04
1000,APU,AA-TR-xx,1920x1080,7.91
1000,APU,AA-TR-xx,1920x1080,7.89
16000,GPU,AA-xx-xx,1920x1080,24.41
16000,CPU,xx-xx-RE,1280x720,10.48
4000,APU,xx-xx-xx,1920x1080,4.79
260000,GPU,AA-xx-xx,1440x900,230.44
65000,GPU,AA-xx-RE,1440x900,136.90
16000,APU,AA-TR-xx,1280x720,19.55
1000,APU,xx-xx-RE,1280x720,3.58
4000,APU,AA-xx-xx,1920x1080,9.62
260000,APU,xx-TR-RE,1920x1080,64.30
16000,CPU,xx-TR-xx,1440x900,16.98
65000,APU,xx-xx-xx,1920x1080,7.78
4000,CPU,AA-TR-xx,1920x1080,53.75
4000,APU,AA-TR-RE,1280x720,17.15
4000,CPU,AA-xx-RE,1920x1080,47.61
16000,GPU,xx-TR-xx,1280x720,8.75
4000,GPU,xx-TR-RE,1920x1080,7.42
1000,APU,AA-TR-xx,1280x720,6.54
260000,APU,xx-xx-xx,1280x720,11.83
65000,APU,xx-TR-xx,1280x720,9.21
65000,CPU,AA-TR-RE,1920x1080,295.12
1000,GPU,xx-xx-RE,1280x720,1.12
260000,CPU,AA-TR-RE,1440x900,514.91
65000,CPU,xx-xx-RE,1440x900,25.70
1000,CPU,AA-TR-xx,1280x720,18.03
16000,GPU,xx-xx-RE,1280x720,8.44
4000,GPU,AA-xx-xx,1920x1080,11.08
1000,APU,AA-TR-xx,1440x900,7.38
