Objects,Architecture,Effects,Resolution,Time
260000,CPU,AA-TR-RE,1920x1080,634.05
65000,APU,xx-TR-xx,1280x720,8.76
260000,CPU,xx-TR-RE,1280x720,81.39
1000,CPU,xx-TR-RE,1440x900,4.90
65000,GPU,AA-TR-RE,1920x1080,456.91
260000,GPU,AA-TR-xx,1280x720,322.58
1000,APU,xx-xx-RE,1920x1080,4.40
260000,CPU,AA-xx-RE,1280x720,239.13
65000,APU,xx-xx-xx,1280x720,6.29
260000,APU,AA-xx-xx,1280x720,39.93
65000,GPU,xx-xx-xx,1920x1080,14.40
1000,APU,AA-xx-RE,1920x1080,7.97
4000,GPU,xx-xx-xx,1440x900,2.16
4000,CPU,AA-xx-RE,1920x1080,47.60
260000,CPU,xx-TR-RE,1920x1080,128.00
260000,CPU,AA-TR-RE,1280x720,402.46
65000,CPU,xx-TR-xx,1280x720,21.40
65000,CPU,xx-xx-RE,1920x1080,32.63
260000,APU,AA-TR-RE,1920x1080,307.32
16000,APU,AA-TR-xx,1440x900,22.73
65000,APU,AA-TR-RE,1920x1080,136.74
260000,GPU,AA-xx-RE,1440x900,438.22
4000,CPU,AA-TR-xx,1280x720,33.80
1000,APU,AA-TR-RE,1920x1080,9.55
4000,APU,xx-xx-xx,1440x900,4.37
260000,GPU,AA-TR-RE,1920x1080,1266.36
260000,APU,AA-TR-RE,1920x1080,309.37
260000,GPU,xx-xx-xx,1920x1080,53.34
65000,CPU,xx-TR-xx,1440x900,27.71
260000,APU,xx-xx-xx,1280x720,11.75
65000,CPU,AA-xx-RE,1280x720,94.06
4000,APU,xx-xx-RE,1440x900,5.03
1000,CPU,AA-xx-xx,1440x900,19.51
260000,CPU,xx-xx-RE,1440x900,61.74
4000,CPU,xx-xx-xx,1440x900,6.61
260000,GPU,AA-xx-xx,1920x1080,258.81
65000,CPU,xx-TR-RE,1920x1080,59.43
16000,CPU,xx-xx-RE,1440x900,14.27
16000,CPU,AA-xx-xx,1440x900,50.18
65000,GPU,AA-TR-RE,1440x900,377.61
1000,GPU,AA-xx-RE,1280x720,4.54
4000,GPU,xx-TR-RE,1280x720,5.50
65000,GPU,xx-TR-RE,1440x900,76.35
16000,CPU,AA-TR-xx,1920x1080,104.10
1000,APU,AA-TR-RE,1440x900,8.70
4000,GPU,AA-xx-xx,1280x720,7.39
1000,GPU,xx-xx-RE,1920x1080,1.51
65000,CPU,AA-TR-RE,1440x900,234.49
1000,APU,xx-xx-xx,1280x720,3.48
16000,GPU,xx-TR-RE,1280x720,22.35
4000,CPU,xx-xx-RE,1440x900,7.72
260000,APU,xx-xx-RE,1920x1080,28.64
4000,CPU,xx-xx-xx,1280x720,4.94
4000,APU,xx-TR-xx,1440x900,5.37
1000,CPU,AA-TR-RE,1280x720,19.52
1000,APU,AA-xx-xx,1920x1080,6.72
1000,GPU,AA-TR-xx,1280x720,5.26
1000,GPU,AA-xx-RE,1440x900,5.53
16000,GPU,AA-xx-xx,1440x900,20.58
65000,CPU,xx-xx-RE,1440x900,25.65
260000,GPU,AA-xx-xx,1280x720,193.49
65000,CPU,xx-TR-xx,1280x720,21.47
16000,CPU,xx-TR-xx,1440x900,17.06
65000,GPU,AA-xx-RE,1280x720,103.36
4000,APU,xx-TR-RE,1440x900,6.41
260000,GPU,xx-xx-xx,1920x1080,53.09
1000,GPU,xx-TR-RE,1920x1080,2.12
16000,GPU,AA-TR-RE,1280x720,110.11
1000,GPU,xx-TR-RE,1920x1080,2.02
4000,CPU,AA-xx-xx,1920x1080,40.80
1000,APU,AA-xx-RE,1280x720,6.72
260000,GPU,xx-xx-xx,1920x1080,53.08
16000,CPU,xx-TR-xx,1920x1080,20.86
1000,CPU,AA-TR-xx,1280x720,18.14
1000,GPU,AA-TR-RE,1920x1080,8.37
16000,APU,xx-xx-RE,1440x900,7.41
260000,CPU,xx-TR-RE,1440x900,104.13
260000,GPU,xx-xx-RE,1440x900,89.21
4000,GPU,AA-TR-RE,1280x720,26.48
1000,GPU,xx-xx-xx,1280x720,1.01
260000,GPU,xx-TR-xx,1280x720,65.65
65000,APU,AA-xx-RE,1280x720,32.76
1000,APU,xx-xx-xx,1920x1080,4.10
4000,CPU,xx-TR-xx,1280x720,6.83
65000,APU,AA-TR-xx,1440x900,36.44
1000,CPU,xx-TR-RE,1280x720,3.94
1000,CPU,AA-TR-RE,1920x1080,28.98
4000,GPU,AA-TR-RE,1280x720,26.48
1000,APU,xx-TR-RE,1280x720,3.80
65000,APU,AA-xx-RE,1440x900,43.93
260000,GPU,xx-TR-RE,1920x1080,257.88
16000,GPU,xx-xx-RE,1440x900,11.30
16000,APU,xx-TR-xx,1920x1080,8.23
4000,GPU,xx-xx-xx,1280x720,1.75
65000,APU,AA-xx-xx,1280x720,16.18
65000,APU,AA-xx-RE,1440x900,44.01
260000,GPU,xx-xx-RE,1440x900,89.59
65000,APU,xx-TR-xx,1440x900,10.57
4000,CPU,AA-TR-xx,1920x1080,53.83
65000,CPU,xx-TR-xx,1280x720,21.48
260000,GPU,AA-xx-xx,1280x720,193.25
16000,GPU,AA-TR-xx,1280x720,42.32
260000,APU,AA-TR-RE,1280x720,194.82
1000,APU,AA-xx-xx,1280x720,5.53
1000,CPU,AA-xx-xx,1440x900,19.48
16000,APU,AA-xx-xx,1920x1080,13.79
1000,CPU,xx-xx-RE,1280x720,3.32
1000,CPU,AA-xx-xx,1920x1080,24.04
4000,APU,AA-TR-RE,1440x900,20.26
65000,CPU,AA-xx-RE,1920x1080,161.64
1000,CPU,AA-xx-RE,1440x900,20.78
65000,GPU,xx-xx-RE,1280x720,21.19
4000,APU,xx-xx-RE,1280x720,4.47
65000,GPU,AA-xx-RE,1440x900,137.38
16000,GPU,AA-xx-xx,1440x900,20.42
260000,CPU,AA-xx-RE,1440x900,302.55
16000,APU,AA-xx-RE,1440x900,24.70
65000,CPU,AA-xx-RE,1920x1080,161.75
1000,APU,xx-TR-xx,1920x1080,4.43
65000,APU,AA-xx-RE,1920x1080,55.61
260000,APU,AA-xx-xx,1280x720,40.22
260000,GPU,xx-xx-xx,1440x900,47.59
65000,CPU,AA-TR-xx,1440x900,137.32
16000,APU,AA-xx-RE,1920x1080,30.36
1000,GPU,AA-TR-xx,1440x900,5.94
1000,APU,xx-TR-RE,1280x720,3.86
1000,APU,xx-TR-RE,1440x900,4.25
65000,GPU,AA-xx-xx,1920x1080,68.67
16000,CPU,AA-xx-RE,1920x1080,90.25
1000,CPU,AA-TR-xx,1440x900,22.63
260000,CPU,xx-TR-xx,1280x720,51.95
4000,CPU,xx-xx-xx,1280x720,4.94
1000,CPU,AA-TR-RE,1280x720,19.40
4000,APU,xx-TR-xx,1920x1080,5.53
4000,APU,xx-TR-RE,1920x1080,7.28
4000,APU,xx-xx-xx,1440x900,4.63
65000,CPU,xx-xx-xx,1440x900,18.32
16000,APU,xx-xx-xx,1920x1080,5.70
4000,APU,xx-xx-RE,1440x900,4.69
16000,CPU,xx-xx-xx,1440x900,10.08
4000,CPU,xx-TR-xx,1440x900,8.94
4000,CPU,xx-TR-xx,1440x900,8.92
65000,GPU,xx-TR-RE,1280x720,57.79
1000,CPU,AA-xx-RE,1280x720,16.39
65000,GPU,AA-TR-RE,1280x720,285.26
260000,GPU,xx-xx-RE,1280x720,71.85
4000,APU,xx-xx-RE,1440x900,5.20
260000,CPU,AA-TR-RE,1920x1080,633.73
4000,CPU,xx-xx-RE,1920x1080,9.58
1000,CPU,AA-xx-xx,1440x900,19.40
65000,APU,xx-TR-xx,1440x900,10.38
65000,CPU,xx-xx-RE,1280x720,19.15
65000,APU,xx-TR-xx,1280x720,8.74
1000,APU,AA-xx-RE,1920x1080,7.98
260000,APU,AA-xx-xx,1920x1080,55.05
1000,CPU,xx-TR-xx,1440x900,4.63
1000,GPU,xx-xx-RE,1280x720,1.12
260000,APU,xx-xx-xx,1440x900,13.26
65000,APU,xx-TR-RE,1280x720,18.56
1000,APU,AA-xx-RE,1440x900,7.19
1000,APU,xx-TR-RE,1280x720,3.83
16000,GPU,xx-TR-RE,1920x1080,32.26
4000,GPU,xx-xx-xx,1920x1080,2.48
260000,GPU,AA-xx-xx,1440x900,231.25
1000,GPU,xx-TR-RE,1440x900,1.90
65000,GPU,AA-TR-xx,1440x900,121.15
16000,GPU,AA-xx-RE,1280x720,41.03
4000,APU,AA-xx-xx,1440x900,8.35
65000,CPU,AA-xx-xx,1280x720,69.60
4000,APU,xx-TR-xx,1280x720,4.62
16000,CPU,xx-TR-xx,1920x1080,20.95
1000,GPU,AA-TR-RE,1440x900,7.70
4000,CPU,xx-xx-RE,1280x720,5.75
65000,GPU,AA-TR-RE,1440x900,376.41
1000,GPU,AA-xx-xx,1280x720,3.43
