"APU:1280x720" "APU:1440x900" "APU:1920x1080" "CPU:1280x720" "CPU:1440x900" "CPU:1920x1080" "GPU:1280x720" "GPU:1440x900"
"APU:1440x900" 0.484712016122851 NA NA NA NA NA NA NA
"APU:1920x1080" 0.163517411429057 0.484712016122851 NA NA NA NA NA NA
"CPU:1280x720" 8.62323049575285e-06 0.000224950005637069 0.00314387543318203 NA NA NA NA NA
"CPU:1440x900" 1.06870478142138e-09 7.67829115125938e-08 3.41491084785541e-06 0.11557235763635 NA NA NA NA
"CPU:1920x1080" 5.86575265347767e-14 1.03746805757543e-11 9.68925421479906e-10 0.00168342395841245 0.153788855877696 NA NA NA
"GPU:1280x720" 9.06486478953314e-06 0.000235530528532689 0.00327276982882799 0.978485377885443 0.113569595116449 0.00161774361045401 NA NA
"GPU:1440x900" 7.71756340881822e-09 4.76964858098543e-07 1.60493078184385e-05 0.207675598733217 0.732773185640601 0.0779745646877553 0.204636599544236 NA
"GPU:1920x1080" 1.2612029829301e-11 1.21818201771803e-09 8.30909778607348e-08 0.0215979009686895 0.492443009580902 0.450532905115865 0.0209762550698858 0.326129307672753
